Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2013-11-19,KOTAKNIFTY,EQ,626.54,632.0,633.0,632.0,632.0,632.0,632.17,110,6953900000.0,21.0,106,0.9636
2013-11-20,KOTAKNIFTY,EQ,632.0,629.75,631.25,625.01,627.25,627.02,628.74,53,3332301000.0,9.0,30,0.5660000000000001
2013-11-21,KOTAKNIFTY,EQ,627.02,620.0,620.0,610.0,615.01,614.91,614.93,5073,311953145000.0,28.0,5056,0.9966
2013-11-22,KOTAKNIFTY,EQ,614.91,615.5,616.0,612.25,612.25,612.25,615.01,2705,166360955000.0,19.0,2603,0.9623
2013-11-25,KOTAKNIFTY,EQ,612.25,618.0,619.75,616.0,617.9,618.21,618.15,912,56375450000.0,56.0,259,0.284
2013-11-26,KOTAKNIFTY,EQ,618.21,619.0,624.45,617.5,617.75,617.57,621.28,122,7579580000.0,20.0,84,0.6885
2013-11-27,KOTAKNIFTY,EQ,617.57,689.0,689.0,617.3,617.7,617.7,623.62,187,11661620000.0,13.0,90,0.48130000000000006
2013-11-28,KOTAKNIFTY,EQ,617.7,620.5,622.55,620.25,622.0,622.0,620.79,34,2110684999.9999998,10.0,23,0.6765000000000001
2013-11-29,KOTAKNIFTY,EQ,622.0,622.25,630.35,622.25,629.55,629.55,628.22,232,14574735000.0,20.0,65,0.2802
2013-12-02,KOTAKNIFTY,EQ,629.55,632.25,636.0,631.0,636.0,636.0,632.37,742,46922205000.0,29.0,705,0.9501000000000001
2013-12-03,KOTAKNIFTY,EQ,636.0,633.0,633.25,632.0,632.0,632.0,632.97,1056,66841825000.0,19.0,1038,0.983
2013-12-04,KOTAKNIFTY,EQ,632.0,630.0,632.25,630.0,630.25,630.61,630.99,207,13061475000.0,14.0,99,0.4783
2013-12-05,KOTAKNIFTY,EQ,630.61,640.0,640.0,634.0,636.9,636.9,637.5,222,14152595000.000002,29.0,142,0.6396000000000001
2013-12-06,KOTAKNIFTY,EQ,636.9,633.75,637.95,633.0,637.95,637.95,636.83,198,12609270000.0,18.0,176,0.8889
2013-12-09,KOTAKNIFTY,EQ,637.95,640.0,650.05,640.0,646.25,646.52,647.08,634,41025140000.0,46.0,594,0.9369
2013-12-10,KOTAKNIFTY,EQ,646.52,645.75,647.0,642.0,645.5,645.25,644.89,2062,132976875000.0,31.0,1889,0.9161
2013-12-11,KOTAKNIFTY,EQ,645.25,640.95,644.0,640.95,644.0,644.0,641.96,308,19772230000.0,19.0,289,0.9383
2013-12-12,KOTAKNIFTY,EQ,644.0,640.0,640.0,635.75,637.0,637.44,637.29,369,23515875000.0,27.0,190,0.5149
2013-12-13,KOTAKNIFTY,EQ,637.44,639.95,652.01,630.75,630.75,630.75,638.21,706,45057435000.0,32.0,375,0.5312
2013-12-16,KOTAKNIFTY,EQ,630.75,635.0,635.0,627.0,627.5,627.5,629.88,339,21352875000.0,23.0,259,0.7640000000000001
2013-12-17,KOTAKNIFTY,EQ,627.5,629.0,629.75,628.0,628.0,628.0,629.18,145,9123070000.0,8.0,51,0.3517
2013-12-18,KOTAKNIFTY,EQ,628.0,625.0,633.5,625.0,633.0,633.0,629.39,111,6986275000.0,10.0,104,0.9369
2013-12-19,KOTAKNIFTY,EQ,633.0,631.0,631.0,626.0,630.25,630.05,628.8,436,27415675000.0,24.0,360,0.8257
2013-12-20,KOTAKNIFTY,EQ,630.05,629.75,639.85,629.75,639.5,637.8,633.06,372,23549805000.0,21.0,100,0.2688
2013-12-23,KOTAKNIFTY,EQ,637.8,641.5,641.5,641.0,641.5,641.5,641.41,58,3720200000.0,10.0,48,0.8276000000000001
2013-12-24,KOTAKNIFTY,EQ,641.5,641.0,641.0,640.0,640.0,640.13,640.64,241,15439375000.0,9.0,241,1.0
2013-12-26,KOTAKNIFTY,EQ,640.13,639.25,643.0,639.0,643.0,642.37,641.05,492,31539875000.0,17.0,290,0.5894
2013-12-27,KOTAKNIFTY,EQ,642.37,642.75,644.0,642.0,643.0,643.0,643.45,691,44462050000.0,13.0,537,0.7770999999999999
2013-12-30,KOTAKNIFTY,EQ,643.0,643.0,644.5,642.0,642.0,642.36,642.97,355,22825315000.0,24.0,289,0.8140999999999999
2013-12-31,KOTAKNIFTY,EQ,642.36,642.0,642.75,642.0,642.0,642.0,642.16,216,13870675000.0,15.0,152,0.7037000000000001
2014-01-01,KOTAKNIFTY,EQ,642.0,642.5,644.0,641.25,641.25,641.25,642.41,99,6359825000.0,14.0,85,0.8586
2014-01-02,KOTAKNIFTY,EQ,641.25,642.25,647.5,636.0,636.5,636.21,640.22,1417,90719195000.0,48.0,789,0.5568
2014-01-03,KOTAKNIFTY,EQ,636.21,635.0,635.0,626.01,631.0,630.94,630.84,97,6119189000.0,13.0,81,0.8351000000000001
2014-01-06,KOTAKNIFTY,EQ,630.94,630.0,636.0,629.0,630.75,630.62,634.73,1032,65503685000.0,26.0,979,0.9486
2014-01-07,KOTAKNIFTY,EQ,630.62,632.75,633.0,628.8,628.8,628.81,629.53,304,19137615000.0,28.0,122,0.40130000000000005
2014-01-08,KOTAKNIFTY,EQ,628.81,629.9,629.9,629.5,629.9,629.9,629.82,77,4849590000.0,5.0,61,0.7922
2014-01-09,KOTAKNIFTY,EQ,629.9,631.0,632.0,630.0,632.0,632.0,631.0,205,12935602000.0,11.0,145,0.7073
2014-01-10,KOTAKNIFTY,EQ,632.0,630.0,635.0,629.0,629.0,634.1,633.63,468,29653859999.999996,29.0,329,0.703
2014-01-13,KOTAKNIFTY,EQ,634.1,636.0,639.0,636.0,637.25,637.25,637.75,434,27678325000.0,29.0,310,0.7143
2014-01-14,KOTAKNIFTY,EQ,637.25,637.75,639.75,636.5,637.75,637.75,638.03,160,10208400000.0,8.0,133,0.8312
2014-01-15,KOTAKNIFTY,EQ,637.75,636.5,642.9,636.5,642.0,642.0,638.09,189,12059890000.0,29.0,152,0.8042
2014-01-16,KOTAKNIFTY,EQ,642.0,644.5,644.5,643.5,643.5,643.5,643.89,38,2446800000.0,9.0,28,0.7368000000000001
2014-01-17,KOTAKNIFTY,EQ,643.5,641.25,644.0,640.6,642.0,641.68,642.73,823,52896990000.0,158.0,768,0.9331999999999999
2014-01-20,KOTAKNIFTY,EQ,641.68,636.0,641.85,636.0,641.0,641.0,639.36,178,11380575000.0,28.0,94,0.5281
2014-01-21,KOTAKNIFTY,EQ,641.0,641.0,644.0,641.0,643.0,643.0,642.59,2484,159618815000.0,21.0,2091,0.8418000000000001
2014-01-22,KOTAKNIFTY,EQ,643.0,640.0,647.0,635.05,637.0,637.1,641.36,1821,116792194000.0,56.0,1622,0.8906999999999999
2014-01-23,KOTAKNIFTY,EQ,637.1,635.0,636.25,634.8,635.0,635.0,635.45,2053,130457187999.99998,37.0,1874,0.9128000000000001
2014-01-24,KOTAKNIFTY,EQ,635.0,634.0,644.99,629.0,629.5,629.5,631.06,619,39062591000.0,41.0,532,0.8595
2014-01-27,KOTAKNIFTY,EQ,629.5,628.0,628.0,618.62,618.62,618.64,619.87,5819,360704200000.0,43.0,5121,0.88
2014-01-28,KOTAKNIFTY,EQ,618.64,617.0,617.5,612.0,615.0,615.13,615.86,1580,97306502000.0,35.0,310,0.1962
2014-01-29,KOTAKNIFTY,EQ,615.13,617.5,619.5,615.0,615.3,615.97,617.95,1609,99428115000.0,27.0,859,0.5339
2014-01-30,KOTAKNIFTY,EQ,615.97,615.0,615.0,607.0,608.0,607.63,607.71,709,43086849000.0,24.0,435,0.6135
2014-01-31,KOTAKNIFTY,EQ,607.63,560.0,612.3,560.0,611.8,611.8,611.39,1018,62239663000.0,15.0,1005,0.9872
2014-02-03,KOTAKNIFTY,EQ,611.8,611.0,611.0,601.4,601.4,603.02,604.04,1613,97432125000.0,37.0,1531,0.9492
2014-02-04,KOTAKNIFTY,EQ,603.02,600.0,602.0,599.0,602.0,602.0,600.65,5899,354325195000.0,37.0,5889,0.9983
2014-02-05,KOTAKNIFTY,EQ,602.0,602.0,605.0,600.0,605.0,605.0,602.26,2016,121415862999.99998,31.0,534,0.26489999999999997
2014-02-06,KOTAKNIFTY,EQ,605.0,605.0,607.0,600.0,604.0,604.0,602.09,6754,406653800000.0,27.0,6134,0.9081999999999999
2014-02-07,KOTAKNIFTY,EQ,604.0,608.0,609.5,607.0,609.0,608.12,608.86,10802,657687500000.0,33.0,10462,0.9684999999999999
2014-02-10,KOTAKNIFTY,EQ,608.12,609.0,611.0,608.0,608.0,608.0,609.69,330,20119720000.0,28.0,283,0.8576
2014-02-11,KOTAKNIFTY,EQ,608.0,609.0,609.0,608.0,608.0,608.0,608.57,531,32315127000.0,19.0,333,0.6271
2014-02-12,KOTAKNIFTY,EQ,608.0,615.0,617.0,600.01,612.15,612.15,611.13,350,21389442000.0,38.0,305,0.8714000000000001
2014-02-13,KOTAKNIFTY,EQ,612.15,609.0,609.0,606.0,606.0,606.0,607.15,55,3339300000.0,13.0,55,1.0
2014-02-14,KOTAKNIFTY,EQ,606.0,605.0,607.0,601.5,606.5,606.51,603.5,3032,182979799000.0,21.0,624,0.20579999999999998
2014-02-17,KOTAKNIFTY,EQ,606.51,610.0,610.0,607.5,609.0,609.0,607.84,672,40846550000.0,30.0,524,0.7798
2014-02-18,KOTAKNIFTY,EQ,609.0,615.0,622.0,611.0,615.5,615.5,614.02,1563,95971308000.0,21.0,536,0.3429
2014-02-19,KOTAKNIFTY,EQ,615.5,615.0,616.0,615.0,615.5,615.5,615.54,138,8494450000.0,12.0,125,0.9058
2014-02-20,KOTAKNIFTY,EQ,615.5,615.0,615.9,613.25,614.5,614.5,615.88,53951,3322735475000.0,120.0,48277,0.8948
2014-02-21,KOTAKNIFTY,EQ,614.5,615.0,616.0,615.0,615.5,615.52,615.82,151,9298850000.0,9.0,56,0.37090000000000006
